GRID_OID,PLAIN,HILL,MOUNTAIN,PLAIN_M,HILL_M,MOUNTAIN_M,TOTAL_M
16584,2,19,0,0.095238095,0.904761905,0.0,1
16585,13,7,0,0.65,0.35,0.0,1
16586,13,6,0,0.684210526,0.315789474,0.0,1
16587,18,3,0,0.857142857,0.142857143,0.0,1
16588,1,17,2,0.05,0.85,0.1,1
16589,0,7,12,0.0,0.368421053,0.631578947,1
16590,0,15,4,0.0,0.789473684,0.210526316,1
16591,8,7,0,0.533333333,0.466666667,0.0,1
16598,2,7,0,0.222222222,0.777777778,0.0,1
16599,2,18,0,0.1,0.9,0.0,1
16600,0,17,3,0.0,0.85,0.15,1
16601,0,3,17,0.0,0.15,0.85,1
16602,0,2,17,0.0,0.105263158,0.894736842,1
16603,0,3,16,0.0,0.157894737,0.842105263,1
16604,1,14,0,0.066666667,0.933333333,0.0,1
16743,5,6,0,0.454545455,0.545454545,0.0,1
16744,3,11,0,0.214285714,0.785714286,0.0,1
16745,1,4,1,0.166666667,0.666666667,0.166666667,1
16746,1,9,3,0.076923077,0.692307692,0.230769231,1
16747,0,4,16,0.0,0.2,0.8,1
16748,0,19,1,0.0,0.95,0.05,1
16749,1,13,0,0.071428571,0.928571429,0.0,1
16761,1,0,0,1.0,0.0,0.0,1
16762,16,0,0,1.0,0.0,0.0,1
16763,20,0,0,1.0,0.0,0.0,1
16764,20,0,0,1.0,0.0,0.0,1
16765,19,1,0,0.95,0.05,0.0,1
16766,16,3,0,0.842105263,0.157894737,0.0,1
16767,16,4,0,0.8,0.2,0.0,1
16768,9,10,0,0.473684211,0.526315789,0.0,1
16769,13,7,0,0.65,0.35,0.0,1
16770,14,6,0,0.7,0.3,0.0,1
16771,4,10,6,0.2,0.5,0.3,1
16772,0,7,13,0.0,0.35,0.65,1
16773,0,8,12,0.0,0.4,0.6,1
16774,0,6,13,0.0,0.315789474,0.684210526,1
16775,0,0,20,0.0,0.0,1.0,1
16776,0,0,19,0.0,0.0,1.0,1
16777,0,0,20,0.0,0.0,1.0,1
16778,0,2,18,0.0,0.1,0.9,1
16779,0,3,16,0.0,0.157894737,0.842105263,1
16780,0,0,21,0.0,0.0,1.0,1
16781,0,0,19,0.0,0.0,1.0,1
16782,0,0,20,0.0,0.0,1.0,1
16783,0,11,9,0.0,0.55,0.45,1
16784,0,12,8,0.0,0.6,0.4,1
16785,0,14,6,0.0,0.7,0.3,1
16786,0,15,3,0.0,0.833333333,0.166666667,1
16787,1,12,5,0.055555556,0.666666667,0.277777778,1
16788,2,6,1,0.222222222,0.666666667,0.111111111,1
16803,1,11,1,0.076923077,0.846153846,0.076923077,1
16804,0,5,15,0.0,0.25,0.75,1
16805,0,3,17,0.0,0.15,0.85,1
16806,0,4,15,0.0,0.210526316,0.789473684,1
16807,0,14,7,0.0,0.666666667,0.333333333,1
16808,0,19,0,0.0,1.0,0.0,1
16809,0,20,0,0.0,1.0,0.0,1
16810,5,15,0,0.25,0.75,0.0,1
16811,5,14,0,0.263157895,0.736842105,0.0,1
16812,2,12,5,0.105263158,0.631578947,0.263157895,1
16813,0,14,5,0.0,0.736842105,0.263157895,1
16814,3,12,5,0.15,0.6,0.25,1
16815,18,2,0,0.9,0.1,0.0,1
16816,14,6,0,0.7,0.3,0.0,1
16817,4,12,4,0.2,0.6,0.2,1
16818,0,19,1,0.0,0.95,0.05,1
