GRID_OID,ROCK,NON_ROCK,ROCK_S,NON_ROCK_S,TOTAL_S
8553,3,0,1.0,0.0,1
8556,2,0,1.0,0.0,1
8557,3,0,1.0,0.0,1
8607,1,0,1.0,0.0,1
8608,1,0,1.0,0.0,1
8769,1,0,1.0,0.0,1
8770,1,0,1.0,0.0,1
8771,2,0,1.0,0.0,1
8782,1,0,1.0,0.0,1
8783,1,0,1.0,0.0,1
8784,2,0,1.0,0.0,1
8785,1,0,1.0,0.0,1
8786,2,0,1.0,0.0,1
8857,2,0,1.0,0.0,1
8998,1,0,1.0,0.0,1
8999,2,0,1.0,0.0,1
9000,4,0,1.0,0.0,1
9011,4,0,1.0,0.0,1
9012,2,0,1.0,0.0,1
9013,4,0,1.0,0.0,1
9014,1,0,1.0,0.0,1
9085,0,2,0.0,1.0,1
9086,0,3,0.0,1.0,1
9087,0,1,0.0,1.0,1
9088,0,1,0.0,1.0,1
9104,1,0,1.0,0.0,1
9105,3,0,1.0,0.0,1
9118,1,0,1.0,0.0,1
9119,1,0,1.0,0.0,1
9120,1,0,1.0,0.0,1
9227,2,0,1.0,0.0,1
9228,2,0,1.0,0.0,1
9229,4,0,1.0,0.0,1
9230,1,0,1.0,0.0,1
9239,4,0,1.0,0.0,1
9240,4,0,1.0,0.0,1
9241,2,0,1.0,0.0,1
9242,1,0,1.0,0.0,1
9283,2,0,1.0,0.0,1
9284,1,0,1.0,0.0,1
9287,1,0,1.0,0.0,1
9317,1,0,1.0,0.0,1
9334,1,0,1.0,0.0,1
9348,1,0,1.0,0.0,1
9349,1,0,1.0,0.0,1
9456,1,0,1.0,0.0,1
9457,1,0,1.0,0.0,1
9458,2,0,1.0,0.0,1
9459,1,0,1.0,0.0,1
9460,1,0,1.0,0.0,1
9467,1,0,1.0,0.0,1
9468,2,0,1.0,0.0,1
9469,2,0,1.0,0.0,1
9470,1,0,1.0,0.0,1
9471,1,0,1.0,0.0,1
9500,1,0,1.0,0.0,1
9501,2,0,1.0,0.0,1
9502,1,0,1.0,0.0,1
9503,1,0,1.0,0.0,1
9517,2,0,1.0,0.0,1
9522,1,0,1.0,0.0,1
9523,1,0,1.0,0.0,1
9672,1,0,1.0,0.0,1
9674,0,1,0.0,1.0,1
9685,4,0,1.0,0.0,1
9686,2,0,1.0,0.0,1
9687,4,0,1.0,0.0,1
9688,2,0,1.0,0.0,1
9689,0,1,0.0,1.0,1
9695,2,0,1.0,0.0,1
9696,2,0,1.0,0.0,1
9697,4,0,1.0,0.0,1
9698,4,0,1.0,0.0,1
9699,2,0,1.0,0.0,1
9700,1,0,1.0,0.0,1
9729,2,0,1.0,0.0,1
9730,3,0,1.0,0.0,1
9732,2,0,1.0,0.0,1
9733,3,0,1.0,0.0,1
9746,1,0,1.0,0.0,1
9747,1,0,1.0,0.0,1
9750,1,0,1.0,0.0,1
9751,4,0,1.0,0.0,1
9752,2,0,1.0,0.0,1
9787,3,0,1.0,0.0,1
9903,0,1,0.0,1.0,1
9904,0,1,0.0,1.0,1
9913,1,0,1.0,0.0,1
9914,2,0,1.0,0.0,1
9915,1,0,1.0,0.0,1
9916,2,0,1.0,0.0,1
9917,0,1,0.0,1.0,1
9918,2,0,1.0,0.0,1
9924,2,0,1.0,0.0,1
9925,1,0,1.0,0.0,1
9926,2,0,1.0,0.0,1
9927,2,0,1.0,0.0,1
9928,1,0,1.0,0.0,1
9929,2,0,1.0,0.0,1
9960,1,0,1.0,0.0,1
9962,2,0,1.0,0.0,1
9965,1,0,1.0,0.0,1
9978,1,0,1.0,0.0,1
9979,1,0,1.0,0.0,1
9980,1,0,1.0,0.0,1
10016,2,0,1.0,0.0,1
10128,1,0,1.0,0.0,1
10129,0,1,0.0,1.0,1
10130,0,2,0.0,1.0,1
10131,0,1,0.0,1.0,1
10132,1,3,0.25,0.75,1
10133,4,0,1.0,0.0,1
10142,3,0,1.0,0.0,1
10143,4,0,1.0,0.0,1
10144,2,0,1.0,0.0,1
10145,2,2,0.5,0.5,1
10146,0,2,0.0,1.0,1
10147,2,2,0.5,0.5,1
10148,1,1,0.5,0.5,1
10149,1,0,1.0,0.0,1
10150,2,0,1.0,0.0,1
10151,2,0,1.0,0.0,1
10152,1,0,1.0,0.0,1
10153,4,0,1.0,0.0,1
10154,2,0,1.0,0.0,1
10155,4,0,1.0,0.0,1
10156,4,0,1.0,0.0,1
10157,2,0,1.0,0.0,1
10158,4,0,1.0,0.0,1
10159,2,0,1.0,0.0,1
10191,2,0,1.0,0.0,1
10192,2,0,1.0,0.0,1
10208,1,0,1.0,0.0,1
10218,1,0,1.0,0.0,1
10219,3,0,1.0,0.0,1
10221,1,1,0.5,0.5,1
10247,2,2,0.5,0.5,1
10248,2,0,1.0,0.0,1
10249,0,3,0.0,1.0,1
10250,0,1,0.0,1.0,1
10357,2,0,1.0,0.0,1
10358,2,0,1.0,0.0,1
10359,1,3,0.25,0.75,1
10360,0,2,0.0,1.0,1
10361,4,0,1.0,0.0,1
10362,2,0,1.0,0.0,1
10370,2,0,1.0,0.0,1
10371,4,0,1.0,0.0,1
10372,4,0,1.0,0.0,1
10373,2,0,1.0,0.0,1
10374,4,0,1.0,0.0,1
10375,0,2,0.0,1.0,1
10376,0,4,0.0,1.0,1
10377,3,1,0.75,0.25,1
10378,1,1,0.5,0.5,1
10379,4,0,1.0,0.0,1
10380,4,0,1.0,0.0,1
10381,2,0,1.0,0.0,1
10382,4,0,1.0,0.0,1
10383,2,0,1.0,0.0,1
10384,4,0,1.0,0.0,1
10385,4,0,1.0,0.0,1
10386,2,0,1.0,0.0,1
10387,2,0,1.0,0.0,1
10421,1,0,1.0,0.0,1
10441,2,0,1.0,0.0,1
10442,1,0,1.0,0.0,1
10450,2,0,1.0,0.0,1
