MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|GR
11/01/2023 14:00:00 - 11/01/2023 15:00:00,211.0,EUR,
11/01/2023 15:00:00 - 11/01/2023 16:00:00,269.47,EUR,
11/01/2023 16:00:00 - 11/01/2023 17:00:00,268.56,EUR,
11/01/2023 17:00:00 - 11/01/2023 18:00:00,280.0,EUR,
11/01/2023 18:00:00 - 11/01/2023 19:00:00,280.0,EUR,
11/01/2023 19:00:00 - 11/01/2023 20:00:00,270.06,EUR,
11/01/2023 20:00:00 - 11/01/2023 21:00:00,246.1,EUR,
11/01/2023 21:00:00 - 11/01/2023 22:00:00,205.0,EUR,
11/01/2023 22:00:00 - 11/01/2023 23:00:00,269.02,EUR,
11/01/2023 23:00:00 - 12/01/2023 00:00:00,186.54,EUR,
12/01/2023 00:00:00 - 12/01/2023 01:00:00,160.72,EUR,
12/01/2023 01:00:00 - 12/01/2023 02:00:00,150.08,EUR,
12/01/2023 02:00:00 - 12/01/2023 03:00:00,131.0,EUR,
12/01/2023 03:00:00 - 12/01/2023 04:00:00,129.2,EUR,
12/01/2023 04:00:00 - 12/01/2023 05:00:00,133.5,EUR,
12/01/2023 05:00:00 - 12/01/2023 06:00:00,162.82,EUR,
12/01/2023 06:00:00 - 12/01/2023 07:00:00,333.0,EUR,
12/01/2023 07:00:00 - 12/01/2023 08:00:00,333.0,EUR,
12/01/2023 08:00:00 - 12/01/2023 09:00:00,223.51,EUR,
12/01/2023 09:00:00 - 12/01/2023 10:00:00,207.96,EUR,
12/01/2023 10:00:00 - 12/01/2023 11:00:00,195.07,EUR,
12/01/2023 11:00:00 - 12/01/2023 12:00:00,181.27,EUR,
12/01/2023 12:00:00 - 12/01/2023 13:00:00,174.94,EUR,
12/01/2023 13:00:00 - 12/01/2023 14:00:00,188.37,EUR,
12/01/2023 14:00:00 - 12/01/2023 15:00:00,206.46,EUR,
12/01/2023 15:00:00 - 12/01/2023 16:00:00,272.01,EUR,
12/01/2023 16:00:00 - 12/01/2023 17:00:00,297.0,EUR,
12/01/2023 17:00:00 - 12/01/2023 18:00:00,285.3,EUR,
12/01/2023 18:00:00 - 12/01/2023 19:00:00,257.5,EUR,
12/01/2023 19:00:00 - 12/01/2023 20:00:00,277.69,EUR,
12/01/2023 20:00:00 - 12/01/2023 21:00:00,269.25,EUR,
12/01/2023 21:00:00 - 12/01/2023 22:00:00,181.38,EUR,
12/01/2023 22:00:00 - 12/01/2023 23:00:00,213.0,EUR,
12/01/2023 23:00:00 - 13/01/2023 00:00:00,172.5,EUR,
13/01/2023 00:00:00 - 13/01/2023 01:00:00,172.34,EUR,
13/01/2023 01:00:00 - 13/01/2023 02:00:00,169.56,EUR,
13/01/2023 02:00:00 - 13/01/2023 03:00:00,169.42,EUR,
13/01/2023 03:00:00 - 13/01/2023 04:00:00,156.74,EUR,
13/01/2023 04:00:00 - 13/01/2023 05:00:00,163.5,EUR,
13/01/2023 05:00:00 - 13/01/2023 06:00:00,172.99,EUR,
13/01/2023 06:00:00 - 13/01/2023 07:00:00,248.11,EUR,
13/01/2023 07:00:00 - 13/01/2023 08:00:00,249.68,EUR,
13/01/2023 08:00:00 - 13/01/2023 09:00:00,295.0,EUR,
13/01/2023 09:00:00 - 13/01/2023 10:00:00,254.56,EUR,
13/01/2023 10:00:00 - 13/01/2023 11:00:00,206.24,EUR,
13/01/2023 11:00:00 - 13/01/2023 12:00:00,189.99,EUR,
13/01/2023 12:00:00 - 13/01/2023 13:00:00,185.0,EUR,
13/01/2023 13:00:00 - 13/01/2023 14:00:00,185.0,EUR,
13/01/2023 14:00:00 - 13/01/2023 15:00:00,197.91,EUR,
13/01/2023 15:00:00 - 13/01/2023 16:00:00,238.99,EUR,
13/01/2023 16:00:00 - 13/01/2023 17:00:00,255.09,EUR,
13/01/2023 17:00:00 - 13/01/2023 18:00:00,263.64,EUR,
13/01/2023 18:00:00 - 13/01/2023 19:00:00,252.87,EUR,
13/01/2023 19:00:00 - 13/01/2023 20:00:00,254.59,EUR,
13/01/2023 20:00:00 - 13/01/2023 21:00:00,204.83,EUR,
13/01/2023 21:00:00 - 13/01/2023 22:00:00,201.42,EUR,
13/01/2023 22:00:00 - 13/01/2023 23:00:00,175.0,EUR,
13/01/2023 23:00:00 - 14/01/2023 00:00:00,218.68,EUR,
14/01/2023 00:00:00 - 14/01/2023 01:00:00,157.8,EUR,
14/01/2023 01:00:00 - 14/01/2023 02:00:00,150.0,EUR,
14/01/2023 02:00:00 - 14/01/2023 03:00:00,148.7,EUR,
14/01/2023 03:00:00 - 14/01/2023 04:00:00,150.0,EUR,
14/01/2023 04:00:00 - 14/01/2023 05:00:00,155.0,EUR,
14/01/2023 05:00:00 - 14/01/2023 06:00:00,257.31,EUR,
14/01/2023 06:00:00 - 14/01/2023 07:00:00,265.0,EUR,
