MTU (CET/CEST),Area,Day-ahead Price (EUR/MWh)
11/01/2024 00:00:00 - 11/01/2024 01:00:00,BZN|IT-North,91.75
11/01/2024 01:00:00 - 11/01/2024 02:00:00,BZN|IT-North,88.6
11/01/2024 02:00:00 - 11/01/2024 03:00:00,BZN|IT-North,87.25
11/01/2024 03:00:00 - 11/01/2024 04:00:00,BZN|IT-North,82.38
11/01/2024 04:00:00 - 11/01/2024 05:00:00,BZN|IT-North,83.61
11/01/2024 05:00:00 - 11/01/2024 06:00:00,BZN|IT-North,90.35
11/01/2024 06:00:00 - 11/01/2024 07:00:00,BZN|IT-North,103.1
11/01/2024 07:00:00 - 11/01/2024 08:00:00,BZN|IT-North,116.89
11/01/2024 08:00:00 - 11/01/2024 09:00:00,BZN|IT-North,141
11/01/2024 09:00:00 - 11/01/2024 10:00:00,BZN|IT-North,129.16
11/01/2024 10:00:00 - 11/01/2024 11:00:00,BZN|IT-North,113.65
11/01/2024 11:00:00 - 11/01/2024 12:00:00,BZN|IT-North,106.48
11/01/2024 12:00:00 - 11/01/2024 13:00:00,BZN|IT-North,99.38
11/01/2024 13:00:00 - 11/01/2024 14:00:00,BZN|IT-North,99
11/01/2024 14:00:00 - 11/01/2024 15:00:00,BZN|IT-North,105.98
11/01/2024 15:00:00 - 11/01/2024 16:00:00,BZN|IT-North,113.71
11/01/2024 16:00:00 - 11/01/2024 17:00:00,BZN|IT-North,120
11/01/2024 17:00:00 - 11/01/2024 18:00:00,BZN|IT-North,128.75
11/01/2024 18:00:00 - 11/01/2024 19:00:00,BZN|IT-North,136.72
11/01/2024 19:00:00 - 11/01/2024 20:00:00,BZN|IT-North,132.31
11/01/2024 20:00:00 - 11/01/2024 21:00:00,BZN|IT-North,117.93
11/01/2024 21:00:00 - 11/01/2024 22:00:00,BZN|IT-North,107.19
11/01/2024 22:00:00 - 11/01/2024 23:00:00,BZN|IT-North,105.98
11/01/2024 23:00:00 - 12/01/2024 00:00:00,BZN|IT-North,99
12/01/2024 00:00:00 - 12/01/2024 01:00:00,BZN|IT-North,101.46
12/01/2024 01:00:00 - 12/01/2024 02:00:00,BZN|IT-North,95.64
12/01/2024 02:00:00 - 12/01/2024 03:00:00,BZN|IT-North,91.2
12/01/2024 03:00:00 - 12/01/2024 04:00:00,BZN|IT-North,89.9
12/01/2024 04:00:00 - 12/01/2024 05:00:00,BZN|IT-North,88.59
