MTU (CET/CEST),Area,Day-ahead Price (EUR/MWh)
09/01/2024 00:00:00 - 09/01/2024 01:00:00,BZN|IT-North,87.53
09/01/2024 01:00:00 - 09/01/2024 02:00:00,BZN|IT-North,86.18
09/01/2024 02:00:00 - 09/01/2024 03:00:00,BZN|IT-North,85
09/01/2024 03:00:00 - 09/01/2024 04:00:00,BZN|IT-North,84.08
09/01/2024 04:00:00 - 09/01/2024 05:00:00,BZN|IT-North,84.98
09/01/2024 05:00:00 - 09/01/2024 06:00:00,BZN|IT-North,89.34
09/01/2024 06:00:00 - 09/01/2024 07:00:00,BZN|IT-North,106.76
09/01/2024 07:00:00 - 09/01/2024 08:00:00,BZN|IT-North,117.98
09/01/2024 08:00:00 - 09/01/2024 09:00:00,BZN|IT-North,132.63
09/01/2024 09:00:00 - 09/01/2024 10:00:00,BZN|IT-North,120.85
09/01/2024 10:00:00 - 09/01/2024 11:00:00,BZN|IT-North,112.1
09/01/2024 11:00:00 - 09/01/2024 12:00:00,BZN|IT-North,104.97
09/01/2024 12:00:00 - 09/01/2024 13:00:00,BZN|IT-North,100.37
09/01/2024 13:00:00 - 09/01/2024 14:00:00,BZN|IT-North,100.82
09/01/2024 14:00:00 - 09/01/2024 15:00:00,BZN|IT-North,110
09/01/2024 15:00:00 - 09/01/2024 16:00:00,BZN|IT-North,116.55
09/01/2024 16:00:00 - 09/01/2024 17:00:00,BZN|IT-North,127.36
09/01/2024 17:00:00 - 09/01/2024 18:00:00,BZN|IT-North,137.35
09/01/2024 18:00:00 - 09/01/2024 19:00:00,BZN|IT-North,137
09/01/2024 19:00:00 - 09/01/2024 20:00:00,BZN|IT-North,130.05
09/01/2024 20:00:00 - 09/01/2024 21:00:00,BZN|IT-North,117.67
09/01/2024 21:00:00 - 09/01/2024 22:00:00,BZN|IT-North,110.99
09/01/2024 22:00:00 - 09/01/2024 23:00:00,BZN|IT-North,105.61
09/01/2024 23:00:00 - 10/01/2024 00:00:00,BZN|IT-North,103.46
10/01/2024 00:00:00 - 10/01/2024 01:00:00,BZN|IT-North,97.97
10/01/2024 01:00:00 - 10/01/2024 02:00:00,BZN|IT-North,92.9
10/01/2024 02:00:00 - 10/01/2024 03:00:00,BZN|IT-North,91.29
10/01/2024 03:00:00 - 10/01/2024 04:00:00,BZN|IT-North,92.2
10/01/2024 04:00:00 - 10/01/2024 05:00:00,BZN|IT-North,91.29
10/01/2024 05:00:00 - 10/01/2024 06:00:00,BZN|IT-North,99.5
10/01/2024 06:00:00 - 10/01/2024 07:00:00,BZN|IT-North,108.96
10/01/2024 07:00:00 - 10/01/2024 08:00:00,BZN|IT-North,120
10/01/2024 08:00:00 - 10/01/2024 09:00:00,BZN|IT-North,139.2
10/01/2024 09:00:00 - 10/01/2024 10:00:00,BZN|IT-North,130.39
10/01/2024 10:00:00 - 10/01/2024 11:00:00,BZN|IT-North,117.47
10/01/2024 11:00:00 - 10/01/2024 12:00:00,BZN|IT-North,109.13
10/01/2024 12:00:00 - 10/01/2024 13:00:00,BZN|IT-North,104.2
10/01/2024 13:00:00 - 10/01/2024 14:00:00,BZN|IT-North,106.54
10/01/2024 14:00:00 - 10/01/2024 15:00:00,BZN|IT-North,110.2
10/01/2024 15:00:00 - 10/01/2024 16:00:00,BZN|IT-North,119.77
10/01/2024 16:00:00 - 10/01/2024 17:00:00,BZN|IT-North,133.14
10/01/2024 17:00:00 - 10/01/2024 18:00:00,BZN|IT-North,143.79
10/01/2024 18:00:00 - 10/01/2024 19:00:00,BZN|IT-North,140
10/01/2024 19:00:00 - 10/01/2024 20:00:00,BZN|IT-North,132.15
10/01/2024 20:00:00 - 10/01/2024 21:00:00,BZN|IT-North,120
10/01/2024 21:00:00 - 10/01/2024 22:00:00,BZN|IT-North,109.13
10/01/2024 22:00:00 - 10/01/2024 23:00:00,BZN|IT-North,105.37
10/01/2024 23:00:00 - 11/01/2024 00:00:00,BZN|IT-North,103.62
